,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
0,Celestun,MX,1554562336,20.87,-90.4,0,91,299.717,7.27
1,Mataura,NZ,1554562205,-46.19,168.86,0,87,276.48,1.22
2,Cabo San Lucas,MX,1554562095,22.89,-109.91,5,59,295.37,2.6
3,Miraflores,CO,1554562390,5.2,-73.14,80,98,286.917,1.02
4,Sangar,RU,1554562398,63.92,127.47,0,79,267.467,2.42
5,Kodiak,US,1554562431,39.95,-94.76,1,62,289.26,5.7
6,Isangel,VU,1554562466,-19.55,169.27,0,100,298.467,7.52
7,Kuytun,RU,1554562467,54.34,101.51,0,55,268.817,2.32
8,Hervey Bay,AU,1554559200,-25.3,152.85,0,88,292.15,3.1
9,Chokurdakh,RU,1554562364,70.62,147.9,88,85,263.217,4.12
10,Namatanai,PG,1554562471,-3.66,152.44,80,100,300.067,3.22
11,Xacmaz,AZ,1554562472,41.46,48.81,92,100,281.367,1.42
12,Ciudad Bolivar,VE,1554562373,8.12,-63.55,0,46,305.017,4.77
13,Adrar,DZ,1554559200,27.87,-0.29,0,24,299.15,6.2
14,Kavieng,PG,1554562476,-2.57,150.8,76,100,301.567,4.12
15,Mahebourg,MU,1554562441,-20.41,57.7,75,78,299.15,5.7
16,Port Elizabeth,US,1554562306,39.31,-74.98,40,81,287.04,3.6
17,Ushuaia,AR,1554559200,-54.81,-68.31,90,81,276.15,12.9
18,Punta Arenas,CL,1554562349,-53.16,-70.91,20,65,280.15,20.1
19,Hami,CN,1554562365,42.84,93.51,80,34,287.817,2.82
20,Hirara,JP,1554562483,24.8,125.28,8,100,296.917,3.67
21,Rikitea,PF,1554562484,-23.12,-134.97,68,100,298.117,6.72
22,Cape Town,ZA,1554562267,-33.93,18.42,0,36,299.82,4.6
23,Erzin,TR,1554562283,36.95,36.2,75,60,295.15,4.1
24,Busselton,AU,1554562273,-33.64,115.35,24,49,287.04,4.32
25,Albany,US,1554562047,42.65,-73.75,90,80,280.37,2.6
26,Qingyuan,CN,1554562490,27.62,119.06,12,90,286.217,0.82
27,Kapaa,US,1554561955,22.08,-159.32,1,88,293.15,2.1
28,Cidreira,BR,1554562492,-30.17,-50.22,100,92,295.017,3.42
29,Nicoya,CR,1554559200,10.15,-85.45,0,51,302.15,2.1
30,Hermanus,ZA,1554561957,-34.42,19.24,0,62,299.82,5.36
31,Alofi,NU,1554559200,-19.06,-169.92,80,100,298.15,1.5
32,Byron Bay,AU,1554562221,-28.65,153.62,32,93,292.59,0.82
33,Nara,JP,1554561835,34.68,135.8,0,82,287.15,2.6
34,Bandarbeyla,SO,1554562499,9.49,50.81,0,100,300.667,3.32
35,Hithadhoo,MV,1554562376,-0.6,73.08,20,100,302.317,3.27
36,Bernay,FR,1554562494,49.09,0.6,0,44,289.26,5.1
37,Ler,NO,1554562502,63.2,10.3,75,48,280.15,5.7
38,Baracoa,CU,1554562504,20.35,-74.5,92,90,299.717,4.32
39,Qaanaaq,GL,1554562505,77.48,-69.36,32,89,258.317,5.32
40,Plouzane,FR,1554562386,48.38,-4.62,0,66,287.04,4.1
41,Ust-Maya,RU,1554562333,60.42,134.54,12,80,267.267,1.22
42,Hobart,AU,1554562456,-42.88,147.33,0,71,285.15,4.1
43,Elizabeth City,US,1554562326,36.3,-76.22,90,82,289.26,3.6
44,Lucapa,AO,1554562511,-8.42,20.74,24,53,304.317,1.87
45,Carnarvon,ZA,1554562332,-30.97,22.13,0,28,295.317,2.07
46,Ribeira Grande,PT,1554561000,38.52,-28.7,40,82,291.15,10.3
47,Clyde River,CA,1554561360,70.47,-68.59,90,91,257.15,18.5
48,Huarmey,PE,1554562450,-10.07,-78.15,0,63,296.967,1.57
49,Dudinka,RU,1554562517,69.41,86.18,76,88,267.317,3.77
50,Castro,CL,1554559200,-42.48,-73.76,90,100,283.15,7.2
51,Binzhou,CN,1554562366,37.38,117.96,92,51,285.37,5.27
52,Barrow,AR,1554562520,-38.31,-60.23,0,51,294.117,7.62
53,Norman Wells,CA,1554559200,65.28,-126.83,75,66,262.15,3.6
54,Bluff,AU,1554562523,-23.58,149.07,0,74,293.767,4.37
55,Souillac,FR,1554562466,45.6,-0.6,75,81,283.15,4.6
56,Khatanga,RU,1554562525,71.98,102.47,44,79,268.117,6.12
57,Longyearbyen,NO,1554558600,78.22,15.63,75,62,267.15,6.2
58,Pisco,PE,1554559200,-13.71,-76.2,90,30,295.15,1.5
59,Amursk,RU,1554562529,50.23,136.9,68,78,272.117,3.22
60,Hualmay,PE,1554562530,-11.1,-77.61,20,78,296.317,2.27
61,Krapina,HR,1554562523,46.16,15.87,75,66,289.26,2.6
62,Arkadelphia,US,1554562504,34.12,-93.05,75,87,291.15,1.5
63,Paamiut,GL,1554562533,61.99,-49.67,68,90,274.417,13.22
64,La Ronge,CA,1554559200,55.1,-105.3,75,63,270.15,2.6
65,Jamestown,AU,1554562536,-33.21,138.6,0,87,281.467,1.07
66,Labuhan,ID,1554562537,-2.54,115.51,92,97,295.867,0.57
67,Jaen,PE,1554562539,-5.71,-78.81,44,85,293.567,0.72
68,Broadford,IE,1554561000,52.35,-8.97,75,58,286.15,3.6
69,Bredasdorp,ZA,1554561957,-34.53,20.04,0,53,297.04,7.7
70,Venado Tuerto,AR,1554562509,-33.75,-61.97,20,18,297.04,1.79
71,Torbay,CA,1554562414,47.66,-52.73,75,34,277.04,8.2
72,Lac du Bonnet,CA,1554561031,50.25,-96.06,36,93,271.48,3.13
73,Saint-Francois,FR,1554561956,46.42,3.91,75,54,286.15,7.7
74,Omsukchan,RU,1554562547,62.53,155.8,64,64,263.717,1.12
75,Kankan,GN,1554562548,10.38,-9.3,48,29,311.217,2.57
76,Brae,GB,1554560400,60.4,-1.35,8,70,282.15,9.8
77,Aykhal,RU,1554562550,65.95,111.51,0,63,264.267,3.92
78,Atuona,PF,1554562552,-9.8,-139.03,92,98,301.417,7.67
79,Baykit,RU,1554562553,61.68,96.39,48,75,271.617,4.17
80,Pevek,RU,1554562347,69.7,170.27,8,71,256.117,3.52
81,Tetouan,MA,1554559200,35.57,-5.37,75,71,288.15,9.3
82,Airai,TL,1554562315,-8.93,125.41,8,81,293.717,0.82
83,Sol-Iletsk,RU,1554562557,51.16,55.0,68,70,283.417,3.22
84,Kirakira,SB,1554562558,-10.46,161.92,88,99,302.517,2.47
85,Saint-Philippe,CA,1554562338,45.36,-73.48,90,93,277.04,3.6
86,Diapaga,BF,1554562561,12.07,1.79,56,32,312.067,3.77
87,Tomohon,ID,1554561000,1.33,124.84,20,100,297.15,0.72
88,Lobva,RU,1554562563,59.19,60.52,8,84,275.367,1.02
89,Vaini,IN,1554562523,15.34,74.49,0,63,298.517,1.27
90,Hilo,US,1554562513,19.71,-155.08,1,72,292.59,2.6
91,Iqaluit,CA,1554561122,63.75,-68.52,75,85,265.15,3.92
92,Kayes,ML,1554562567,14.44,-11.44,12,22,311.917,4.67
93,Gizo,IL,1554562306,31.8,34.94,75,41,297.59,4.1
94,Saint-Joseph,FR,1554562537,43.56,6.97,92,62,286.15,2.6
95,New Norfolk,AU,1554562516,-42.78,147.06,0,71,285.15,4.1
96,Mount Gambier,AU,1554559200,-37.83,140.78,0,87,281.15,1.5
97,Port Alfred,ZA,1554562276,-33.59,26.89,8,81,292.59,2.68
98,Lebu,ET,1554559200,8.96,38.73,75,35,296.15,6.2
99,Yellowknife,CA,1554562326,62.45,-114.38,75,71,257.59,4.6
100,Lumphat,KH,1554562577,13.5,106.97,36,94,296.017,1.67
101,Coquimbo,CL,1554559200,-29.95,-71.34,0,49,295.15,2.1
102,Whitehorse,CA,1554562345,60.72,-135.06,75,79,269.82,6.2
103,Cayenne,GF,1554561000,4.94,-52.33,75,78,301.15,8.7
104,Saint-Georges,CA,1554562084,46.12,-70.67,92,96,274.82,3.13
105,Ostrovnoy,RU,1554562389,68.05,39.51,0,88,271.917,6.02
106,Half Moon Bay,US,1554562584,37.46,-122.43,90,76,287.59,3.1
107,Manacapuru,BR,1554562800,-3.3,-60.62,40,59,305.15,4.6
108,Puerto Ayora,EC,1554561956,-0.74,-90.35,20,74,301.15,5.1
109,Tuktoyaktuk,CA,1554559200,69.44,-133.03,20,76,251.15,6.2
110,Banda Aceh,ID,1554562502,5.56,95.32,36,80,300.467,1.12
111,East London,ZA,1554559200,-33.02,27.91,75,77,292.15,6.7
112,Privolzhye,RU,1554562591,52.86,48.6,92,87,279.567,4.42
113,Dikson,RU,1554562343,73.51,80.55,80,100,265.667,4.27
114,Daru,SL,1554562593,7.99,-10.85,80,44,307.617,2.32
115,Bambous Virieux,MU,1554562441,-20.34,57.76,75,78,299.15,5.7
116,Luena,AO,1554562596,-11.78,19.91,80,50,301.117,1.77
117,Vardo,US,1554562391,39.62,-77.74,40,81,285.93,1.5
118,Biak,ID,1554562386,-0.91,122.88,36,98,299.517,0.52
119,Lakselv,NO,1554560400,70.05,24.96,75,41,278.15,12.3
120,Esperance,TT,1554562518,10.24,-61.45,40,83,302.04,3.6
121,Sapernoye,RU,1554562537,60.72,29.95,44,60,285.37,4.02
122,Port Blair,IN,1554562603,11.67,92.75,0,99,302.617,3.82
123,Upernavik,GL,1554562366,72.79,-56.15,32,85,272.717,9.87
124,Tasiilaq,GL,1554558600,65.61,-37.64,90,46,272.15,13.9
125,Provideniya,RU,1554562327,64.42,-173.23,0,100,261.817,2.32
126,Lethem,GY,1554562608,3.38,-59.8,0,42,306.717,6.62
127,Puerto Penasco,MX,1554562007,31.32,-113.53,0,80,289.26,0.89
128,Padang,ID,1554559200,-0.92,100.36,40,94,299.15,1.5
129,Namibe,AO,1554559200,-15.19,12.15,75,74,299.15,6.2
130,Rosetown,CA,1554562063,51.55,-107.99,64,92,275.93,3.58
131,Mar del Plata,AR,1554562614,-46.43,-67.52,0,39,293.767,3.07
132,Cancun,MX,1554562343,21.17,-86.85,40,74,301.15,5.1
133,Port-Gentil,GA,1554559200,-0.72,8.78,20,66,304.15,5.7
134,Nantucket,US,1554562587,41.28,-70.1,90,87,284.15,5.1
135,Quatre Cocos,MU,1554562441,-20.21,57.76,75,78,299.15,5.7
136,Limoges,FR,1554562518,45.84,1.26,90,81,282.59,7.2
137,Laguna,MX,1554558120,27.52,-110.01,5,66,284.15,1.82
138,Butaritari,KI,1554562328,3.07,172.79,76,100,298.217,2.97
139,Chara,GR,1554562428,39.42,22.43,90,87,287.59,3.6
140,Kichera,RU,1554562624,55.93,110.1,0,68,259.717,1.17
141,Victoria,BN,1554559200,5.28,115.24,75,74,302.15,2.1
142,Makakilo City,US,1554562347,21.35,-158.09,1,82,293.15,2.6
143,Zarand,IR,1554559200,30.81,56.57,20,18,294.15,5.1
144,Avarua,CK,1554561000,-21.21,-159.78,12,94,293.15,0.5
145,Rosetta,EG,1554559200,31.4,30.42,40,44,298.15,4.6
146,Moose Factory,CA,1554559800,51.26,-80.61,90,78,263.15,2.6
147,Arraial do Cabo,BR,1554559200,-22.97,-42.02,0,66,305.15,1.5
148,Anloga,GH,1554559200,5.79,0.9,20,70,305.15,8.2
149,Nome,US,1554562593,30.04,-94.42,90,94,295.37,3.1
150,Bra,IT,1554562630,44.7,7.85,75,58,290.93,3.1
151,Sorong,ID,1554562587,-0.86,131.25,64,100,299.017,0.77
152,Conde,BR,1554562451,-11.81,-37.61,44,81,302.517,2.77
153,Avera,US,1554562562,33.19,-82.53,90,93,290.93,2.1
154,Isiro,CD,1554562641,2.77,27.62,0,52,303.417,1.52
155,Inhambane,MZ,1554559200,-23.87,35.38,40,62,303.15,4.1
156,Kruisfontein,ZA,1554562521,-34.0,24.73,0,75,292.817,7.37
157,Atar,MR,1554562421,20.52,-13.05,8,21,301.967,4.22
158,Kaitangata,NZ,1554562587,-46.28,169.85,0,65,279.82,1.79
159,Menongue,AO,1554562646,-14.66,17.68,48,64,298.067,0.97
160,Srednekolymsk,RU,1554562647,67.46,153.71,0,88,259.867,1.22
161,Sao Jose da Coroa Grande,BR,1554562649,-8.9,-35.15,44,78,303.067,4.47
162,Ambulu,ID,1554562650,-8.35,113.61,76,100,299.917,0.27
163,Bulawayo,ZW,1554562600,-20.16,28.59,68,45,298.717,1.82
164,Thinadhoo,MV,1554562652,0.53,72.93,8,100,302.267,0.87
165,Altay,CN,1554562653,47.83,88.13,0,76,272.867,2.52
166,Broken Hill,AU,1554559200,-31.97,141.45,0,52,292.15,3.6
167,Portland,US,1554562524,45.52,-122.67,90,87,281.48,3.6
168,Loncoche,CL,1554561660,-39.37,-72.63,90,100,282.15,1.0
169,Grindavik,IS,1554561000,63.84,-22.43,75,65,279.15,6.7
170,Eydhafushi,MV,1554562582,5.1,73.07,0,100,302.917,2.27
171,Northam,GB,1554562571,51.04,-4.21,20,66,287.59,6.7
172,Touros,BR,1554559200,-5.2,-35.46,40,83,302.15,3.1
173,Georgetown,GY,1554559200,6.8,-58.16,40,74,305.15,7.2
174,Saskylakh,RU,1554562664,71.97,114.09,44,78,264.067,7.27
175,Berlevag,NO,1554562666,70.86,29.09,88,100,274.417,5.22
176,Tual,ID,1554562667,-5.67,132.75,24,96,302.467,2.87
177,Ahipara,NZ,1554562668,-35.17,173.16,8,100,283.567,1.62
178,Flin Flon,CA,1554559200,54.77,-101.88,40,78,265.15,1.0
179,Lata,IN,1554562671,30.78,78.62,76,100,282.717,0.47
180,Mirabad,IR,1554562672,28.27,61.33,0,22,295.967,6.37
181,Oriximina,BR,1554562386,-1.77,-55.87,12,75,302.967,2.07
182,Oga,NG,1554562674,8.18,5.65,8,38,310.717,1.32
183,Mana,RS,1554561000,43.52,20.24,20,34,293.15,8.2
184,Tuymazy,RU,1554562676,54.61,53.71,0,92,273.867,1.27
185,Qostanay,KZ,1554559200,53.17,63.58,40,52,281.15,1.0
186,Aktau,KZ,1554561000,43.65,51.16,75,67,288.15,6.0
187,Yefremov,RU,1554562680,53.14,38.12,20,95,273.767,0.77
188,Lagoa,PT,1554562673,37.14,-8.45,40,63,289.26,9.8
189,Mahibadhoo,MV,1554562449,3.78,72.97,88,100,301.517,1.87
190,Cairns,AU,1554562097,-16.92,145.77,75,83,297.15,4.1
191,Natal,BR,1554559200,-5.81,-35.21,75,66,304.15,5.7
192,Dingle,PH,1554562686,11.0,122.67,20,92,297.917,4.02
193,Hay River,CA,1554559200,60.82,-115.79,75,57,267.15,3.6
194,Prieska,ZA,1554562688,-29.67,22.74,20,60,295.317,1.27
195,Saint George,GR,1554562428,39.45,22.34,90,87,287.59,3.6
196,Portalegre,PT,1554562442,39.29,-7.43,20,66,286.15,7.2
197,Atasu,KZ,1554562692,48.68,71.64,0,71,276.967,4.07
198,Kattivakkam,IN,1554561241,13.22,80.32,20,70,303.15,4.1
199,Geraldton,CA,1554559200,49.72,-86.95,90,86,270.15,1.5
200,Paracuru,BR,1554562092,-3.41,-39.03,40,78,301.15,5.1
201,Port Hardy,CA,1554559200,50.7,-127.42,90,87,280.15,11.3
202,Ambanja,MG,1554562565,-13.68,48.45,44,94,297.617,0.82
203,Lamar,US,1554558780,38.09,-102.62,1,57,284.15,3.1
204,Shieli,KZ,1554562700,44.18,66.74,0,65,284.567,4.37
205,Mao,DO,1554562520,19.55,-71.08,40,74,302.15,5.1
206,Evensk,RU,1554562703,61.92,159.24,0,89,269.017,2.07
207,Codrington,AU,1554562559,-28.95,153.24,75,93,292.59,2.6
208,Nuuk,GL,1554558600,64.17,-51.74,75,41,277.15,7.7
209,Tchaourou,BJ,1554562706,8.89,2.6,44,69,305.217,2.22
210,Piacabucu,BR,1554562707,-10.41,-36.43,68,66,304.117,5.27
211,Ellensburg,US,1554562560,47.0,-120.55,90,86,277.59,1.32
212,Tiksi,RU,1554562698,71.64,128.87,48,76,261.567,1.22
213,Ryde,GB,1554562445,50.73,-1.16,40,66,287.59,5.7
214,Tignere,CM,1554562712,7.37,12.65,48,44,302.817,2.82
215,Mount Isa,AU,1554559200,-20.73,139.49,0,53,297.15,2.6
216,Riyadh,SA,1554559200,24.63,46.72,0,12,308.15,4.6
217,Marzuq,YE,1554562716,14.4,46.47,80,35,298.567,2.32
218,Grand Island,US,1554562336,40.92,-98.34,1,82,290.37,4.6
219,Lasa,CY,1554562200,34.92,32.53,20,77,291.15,2.1
220,Los Llanos de Aridane,ES,1554562599,28.66,-17.92,40,59,292.15,9.3
221,Tuatapere,NZ,1554562205,-46.13,167.69,0,87,276.48,1.62
222,Tura,IN,1554562721,25.52,90.21,88,89,293.617,2.32
223,Itoman,JP,1554561000,26.12,127.67,40,78,297.15,2.1
224,Bingol,TR,1554562724,38.88,40.49,80,95,280.617,0.77
225,Kamenka,RU,1554561728,53.19,44.05,92,83,277.59,3.12
226,Hofn,IS,1554562726,64.25,-15.21,32,100,275.917,8.47
227,Port Hedland,AU,1554561000,-20.31,118.58,48,78,299.15,1.5
228,Bethel,US,1554561960,60.79,-161.76,75,85,267.15,4.6
229,Havre,US,1554562080,48.55,-109.68,90,100,277.15,5.97
230,Thompson,CA,1554559200,55.74,-97.86,20,64,256.15,1.62
231,High Prairie,CA,1554562733,55.43,-116.48,88,87,275.517,2.42
232,Kasangulu,CD,1554561600,-4.59,15.17,75,59,306.15,12.9
233,Morant Bay,JM,1554559200,17.88,-76.41,75,51,302.15,4.1
234,Olhao,PT,1554562673,37.03,-7.84,40,63,289.26,9.8
235,Pringsewu,ID,1554562738,-5.36,104.98,20,82,298.067,1.67
236,Ondjiva,AO,1554562739,-17.07,15.73,0,27,306.967,2.12
237,Kyzyl-Suu,KG,1554562740,42.34,78.0,92,100,275.867,1.37
238,La Union,GT,1554562744,14.97,-89.29,8,81,296.517,1.12
239,Luwuk,ID,1554562746,-0.95,122.79,36,98,299.517,0.52
240,Luderitz,NA,1554562747,-26.65,15.16,8,79,290.917,5.32
241,Faanui,PF,1554562518,-16.48,-151.75,56,100,302.117,7.22
242,Talcahuano,CL,1554559200,-36.72,-73.12,0,71,287.15,4.1
243,Maragogi,BR,1554562723,-9.01,-35.22,44,78,303.067,4.47
244,North Shore,CA,1554562752,49.51,-117.29,64,94,273.167,0.87
245,Itarema,BR,1554562570,-2.92,-39.92,56,100,300.317,3.22
246,Sidi Ali,DZ,1554562754,36.1,0.42,68,86,285.567,5.82
247,Vila Franca do Campo,PT,1554561000,37.72,-25.43,20,77,289.15,9.3
248,Kahului,US,1554562470,20.89,-156.47,1,77,293.71,2.6
249,Jumla,NP,1554562758,29.28,82.18,12,82,271.717,1.07
250,Clarksdale,US,1554562022,34.2,-90.57,75,82,293.15,3.1
251,Chuy,UY,1554562761,-33.69,-53.46,32,85,294.717,4.37
252,Praia da Vitoria,PT,1554562015,38.73,-27.07,40,64,293.15,11.02
253,Kiunga,PG,1554562763,-6.12,141.3,92,97,295.817,0.57
254,Szydlowiec,PL,1554562736,51.23,20.86,0,50,288.71,6.2
255,Port Macquarie,AU,1554562505,-31.43,152.91,0,100,290.93,2.12
256,Batemans Bay,AU,1554562154,-35.71,150.18,92,88,288.71,2.32
257,Honningsvag,NO,1554562768,70.98,25.97,92,100,274.117,4.22
258,Myitkyina,MM,1554562761,25.38,97.4,12,86,293.067,0.97
259,Nago,IT,1554562743,45.88,10.89,75,67,289.26,3.1
260,Husavik,CA,1554562204,50.56,-96.99,44,91,271.48,2.68
261,Hovd,NO,1554562502,63.83,10.7,75,48,280.15,5.7
262,Saldanha,PT,1554562774,41.42,-6.55,80,75,280.567,6.97
263,Belmonte,PT,1554562107,40.36,-7.35,88,80,284.26,1.34
264,Kampene,CD,1554562777,-3.59,26.67,36,46,304.067,1.07
265,San Patricio,PY,1554562688,-26.98,-56.83,76,85,293.617,2.12
266,Saint-Augustin,FR,1554562646,44.83,-0.61,76,81,286.15,4.6
267,Mattru,SL,1554562780,7.62,-11.83,32,47,308.217,3.47
268,Ponta do Sol,BR,1554562674,-20.63,-46.0,88,95,295.717,3.32
269,Sur,OM,1554562783,22.57,59.53,0,80,300.967,0.72
270,San Juan de la Maguana,DO,1554559200,18.81,-71.23,75,65,301.15,5.1
271,Manzanillo,CU,1554562785,20.34,-77.12,88,100,299.717,2.47
272,Lupsanu,RO,1554562636,44.38,26.9,0,50,290.37,6.7
