,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temp,Wind Speed
273,Qasigiannguit,GL,1554558600,68.82,-51.19,75,40,276.15,13.9
274,Alcudia,ES,1554562003,39.85,3.12,20,51,288.15,8.7
275,Bathsheba,BB,1554559200,13.22,-59.52,40,74,299.15,10.8
276,Saint-Pierre,FR,1554562734,48.95,4.24,0,58,289.26,4.6
277,Kota Kinabalu,MY,1554562216,5.98,116.07,75,83,302.04,2.1
278,Necochea,AR,1554562794,-38.55,-58.74,0,63,293.467,6.92
279,Houma,CN,1554562795,35.63,111.36,36,44,285.817,0.97
280,San Cristobal,EC,1554561935,-0.39,-78.55,75,87,287.15,2.6
281,Rio Grande,BR,1554559200,-32.03,-52.1,75,94,293.15,4.1
282,Yumen,CN,1554562799,40.29,97.04,80,29,285.367,2.77
283,Lorengau,PG,1554562800,-2.02,147.27,68,98,301.617,2.87
284,Sibut,CF,1554562801,5.73,19.09,0,20,312.417,4.02
285,Hamilton,CA,1554562560,43.26,-79.87,75,70,283.71,2.1
286,Alamogordo,US,1554562624,32.9,-105.96,1,26,290.37,2.1
287,Narsaq,GL,1554558600,60.91,-46.05,40,28,280.15,5.1
288,Gandorhun,SL,1554562814,8.44,-10.86,48,66,305.167,1.87
289,Svetlaya,RU,1554562816,46.54,138.33,0,91,273.117,4.12
290,Praia,BR,1554562342,-20.25,-43.81,75,74,300.93,1.0
291,Lavrentiya,RU,1554562819,65.58,-170.99,36,85,257.917,2.12
292,Tolaga Bay,NZ,1554562820,-38.37,178.3,92,96,284.567,7.02
293,Epernay,FR,1554562807,45.45,5.88,92,66,287.15,5.7
294,Ayan,TR,1554562823,40.67,33.6,8,29,287.217,1.52
295,Buribay,RU,1554562824,51.96,58.16,8,94,274.317,1.22
296,Nikolskoye,RU,1554562728,59.7,30.79,0,20,287.15,4.0
297,Pangkalanbuun,ID,1554562642,-2.68,111.62,36,92,298.217,1.17
298,Zehdenick,DE,1554562805,52.98,13.33,0,26,295.15,5.1
299,Coihueco,CL,1554559200,-36.63,-71.83,0,71,286.15,3.1
300,Port Moresby,PG,1554562830,-9.47,147.16,92,100,299.917,3.02
301,Yerbogachen,RU,1554562831,61.28,108.01,0,63,268.267,3.27
302,Dongsheng,CN,1554562832,29.72,112.52,0,77,292.717,4.52
303,Altoona,US,1554562503,40.52,-78.39,40,87,284.26,1.42
304,Pimentel,BR,1554562835,-3.7,-45.5,92,100,295.717,1.87
305,Hailar,CN,1554562836,49.2,119.7,64,65,271.067,2.67
306,Schleswig,DE,1554562824,54.52,9.57,32,55,293.15,6.7
307,Torrington,US,1554562631,42.06,-104.18,1,51,285.93,5.7
308,Zatoka,PL,1554562814,50.04,20.52,75,87,283.71,1.0
309,Nanortalik,GL,1554562841,60.14,-45.24,44,93,274.017,10.32
310,Forrest City,US,1554562802,35.01,-90.79,12,82,290.37,3.17
311,Lodja,CD,1554562843,-3.52,23.6,20,70,303.417,1.47
312,Aragats,AM,1554561000,40.22,44.23,75,76,284.15,0.5
313,Saryg-Sep,RU,1554562846,51.49,95.55,76,90,271.767,0.97
314,Albenga,IT,1554562779,44.05,8.22,40,62,289.82,2.6
315,Krasnoslobodsk,RU,1554562848,54.42,43.79,68,84,276.317,3.87
316,Shushtar,IR,1554559200,32.05,48.86,75,54,300.15,1.0
317,Beidao,CN,1554562850,34.57,105.89,12,34,283.567,1.87
318,Gwadar,PK,1554562833,25.12,62.33,0,54,303.367,6.17
319,Jawhar,IN,1554562853,19.91,73.23,0,53,298.367,1.87
320,Anchorage,US,1554562812,61.22,-149.89,90,92,274.82,1.62
321,Novaya Bryan,RU,1554561000,51.72,108.27,0,30,273.15,2.0
322,Shenjiamen,CN,1554562857,29.96,122.3,0,86,288.917,6.77
323,Tilichiki,RU,1554562858,60.47,166.1,36,87,269.217,0.87
324,Zmeinogorsk,RU,1554562859,51.15,82.2,0,95,271.067,1.17
325,Rawson,AR,1554562860,-43.3,-65.11,76,33,295.667,5.57
326,Camopi,GF,1554562862,3.17,-52.33,68,66,302.317,1.62
327,Fremont,US,1554562714,37.55,-121.99,90,76,287.59,3.1
328,Guamuchil,MX,1554562815,25.47,-108.1,0,93,291.48,1.07
329,Waiouru,NZ,1554562865,-39.48,175.67,92,97,277.867,1.22
330,Vestmanna,FO,1554560400,62.16,-7.17,76,100,281.15,6.2
331,Leningradskiy,RU,1554562867,69.38,178.42,80,83,258.467,9.02
332,Jalu,LY,1554562869,29.03,21.55,0,61,299.317,4.67
333,Taoudenni,ML,1554562736,22.68,-3.98,12,21,300.317,5.97
334,Marrakesh,MA,1554561000,31.63,-7.99,40,54,288.15,2.6
335,Show Low,US,1554562869,34.25,-110.03,75,56,280.93,1.42
336,Berdigestyakh,RU,1554562873,62.1,126.7,24,75,268.817,2.62
337,Hasaki,JP,1554562363,35.73,140.83,20,87,284.15,1.5
338,Glinka,RU,1554562876,54.64,32.87,24,46,281.717,3.37
339,Samoded,RU,1554562877,63.61,40.52,36,78,276.817,1.32
340,Sao Filipe,CV,1554562878,14.9,-24.5,0,91,295.617,8.82
341,Ilulissat,GL,1554558600,69.22,-51.1,75,40,276.15,13.9
342,Marawi,PH,1554561993,8.0,124.29,92,89,298.15,1.79
343,Littleton,US,1554562842,39.61,-105.02,75,43,288.15,2.1
344,Takoradi,GH,1554562883,4.89,-1.75,0,88,303.167,4.87
345,Dingzhou,CN,1554559200,38.51,115.0,12,33,287.15,2.0
346,Fortuna,ES,1554562774,38.18,-1.13,40,45,290.37,5.7
347,Nkhata Bay,MW,1554562887,-11.61,34.3,56,76,299.117,1.87
348,Fare,PF,1554562888,-16.7,-151.02,64,99,302.167,6.37
349,College,US,1554562711,64.86,-147.8,20,53,270.15,3.6
350,Beyneu,KZ,1554562891,45.32,55.19,64,53,286.067,7.42
351,Lucelia,BR,1554559200,-21.72,-51.02,75,65,300.15,1.5
352,Karratha,AU,1554562893,-20.74,116.85,0,50,295.917,1.87
353,Muros,ES,1554562884,42.77,-9.06,40,70,287.04,6.7
354,China,MX,1554562896,25.71,-99.24,0,72,298.067,4.82
355,Malaryta,BY,1554559200,51.79,24.08,0,26,289.15,8.0
356,Sehithwa,BW,1554562898,-20.47,22.7,64,36,304.017,2.87
357,Palani,IN,1554562900,10.45,77.52,8,52,295.867,0.87
358,Jiwani,PK,1554562901,25.05,61.74,0,48,303.567,5.42
359,Guerrero Negro,MX,1554562902,27.97,-114.04,80,88,288.917,5.57
360,Tumbagaan,PH,1554562903,5.37,120.31,0,100,301.817,4.72
361,Clonakilty,IE,1554562389,51.62,-8.87,75,87,283.71,6.7
362,Isla Mujeres,MX,1554562343,21.23,-86.73,40,74,301.15,5.1
363,Toronto,CA,1554562474,43.65,-79.39,1,87,282.59,3.1
364,Richards Bay,ZA,1554562911,-28.77,32.06,56,93,293.117,5.77
365,Preobrazheniye,RU,1554562912,42.9,133.91,88,93,272.267,0.87
366,Mayna,RU,1554562913,53.0,91.49,92,96,274.717,1.77
367,Komsomolskiy,RU,1554562766,67.55,63.78,92,92,270.967,10.72
368,Alihe,CN,1554562916,50.57,123.73,68,64,272.567,2.22
369,Aswan,EG,1554559200,24.09,32.9,0,11,305.15,2.6
370,Xining,CN,1554562907,36.62,101.77,0,61,272.917,1.07
371,Ornskoldsvik,SE,1554560400,63.29,18.72,88,69,277.15,3.1
372,Lompoc,US,1554562920,34.64,-120.46,1,93,284.82,1.5
373,Ixtapa,MX,1554562870,20.71,-105.21,40,100,297.59,1.5
374,Amapa,HN,1554561613,15.09,-87.97,0,69,304.26,1.0
375,Agirish,RU,1554562924,61.92,63.02,0,56,273.017,2.67
376,Zvenigovo,RU,1554561000,55.97,48.02,20,69,277.15,4.0
377,Jinchang,CN,1554562927,38.52,102.19,24,54,279.217,3.12
378,Ancud,CL,1554559200,-41.87,-73.83,90,100,283.15,7.2
379,Teknaf,BD,1554562929,20.86,92.31,20,93,297.667,1.67
380,Krasnovishersk,RU,1554562930,60.4,57.08,0,85,270.217,1.22
381,Avrille,FR,1554562889,47.5,-0.58,90,81,285.37,3.1
382,Edd,ER,1554562933,13.93,41.69,20,34,307.267,2.32
383,Deputatskiy,RU,1554562934,69.3,139.9,68,79,259.467,1.22
384,Margate,AU,1554562846,-43.03,147.26,0,62,286.15,3.1
385,Roura,GF,1554561000,4.73,-52.33,75,78,301.15,8.7
386,Veraval,FR,1554562937,49.65,0.71,0,51,288.71,6.7
387,Katsuura,JP,1554561303,33.93,134.5,20,87,286.15,2.6
388,Sayat,TM,1554559200,38.78,63.88,0,44,297.15,7.2
389,Mogadishu,SO,1554559200,2.04,45.34,20,66,303.15,6.2
390,Havoysund,NO,1554560400,71.0,24.66,92,92,272.15,13.4
391,Saint Anthony,US,1554562556,43.97,-111.68,1,75,279.82,9.3
392,Murray Bridge,AU,1554562936,-35.12,139.28,0,80,286.48,1.27
393,Ulsteinvik,NO,1554562877,62.35,5.85,40,70,283.15,5.1
394,Salalah,OM,1554558600,17.01,54.1,20,70,302.15,4.1
395,Ust-Omchug,RU,1554562949,61.13,149.63,0,63,260.517,1.07
396,Skelleftea,SE,1554562697,64.75,20.95,0,74,274.82,2.1
397,Lagos,NG,1554559200,6.46,3.39,75,67,307.15,4.6
398,Fairbanks,US,1554562711,64.84,-147.72,20,53,269.26,3.6
399,Turukhansk,RU,1554562923,65.8,87.96,88,89,267.767,8.42
400,Kargasok,RU,1554562955,59.06,80.87,48,73,271.867,3.52
401,Baherden,TM,1554562956,38.44,57.43,92,92,289.717,3.97
402,Teguise,ES,1554561000,29.06,-13.56,40,49,293.15,7.7
403,Dale,CN,1554562959,24.09,109.99,92,98,292.267,0.87
404,Altamira,BR,1554559200,-3.2,-52.21,75,74,302.15,3.6
405,Severo-Kurilsk,RU,1554562961,50.68,156.12,92,97,273.117,12.57
406,Yar-Sale,RU,1554562963,66.83,70.83,92,86,272.467,11.52
407,Kavaratti,IN,1554562964,10.57,72.64,0,98,303.067,5.72
408,Bogalusa,US,1554562956,30.79,-89.85,90,88,296.48,2.6
409,Acari,BR,1554562728,-6.44,-36.64,88,80,299.817,3.32
410,Lamu,ID,1554562968,0.57,122.3,20,100,296.317,1.22
411,Lashio,MM,1554562969,22.93,97.75,0,84,291.967,0.87
412,Aksu,KZ,1554561000,52.04,76.93,0,45,279.15,3.0
413,Terney,RU,1554562971,45.05,136.61,48,84,275.367,3.17
414,Manono,CD,1554562973,-7.3,27.4,20,57,304.867,3.87
415,Havelock,US,1554562885,34.88,-76.9,90,93,291.48,3.6
416,Mildura,AU,1554562945,-34.18,142.16,0,54,287.15,2.1
417,Cherskiy,RU,1554562767,68.75,161.3,24,54,255.267,0.67
418,Chaozhou,CN,1554559200,23.66,116.62,20,100,295.15,1.0
419,Grand-Santi,GF,1554562979,4.27,-54.38,48,82,299.917,1.62
420,Kenora,CA,1554562324,49.76,-94.48,90,80,274.15,1.62
421,Mehamn,NO,1554562981,71.03,27.85,92,95,274.017,4.52
422,Longhua,CN,1554562982,29.21,106.21,0,60,290.467,1.22
423,Manggar,ID,1554562982,-2.88,108.27,8,100,298.267,1.07
424,Klaksvik,FO,1554560400,62.23,-6.59,80,97,281.15,6.2
425,Eureka,US,1554562686,40.8,-124.16,90,66,285.93,4.1
426,Birjand,IR,1554559200,32.86,59.22,40,30,293.15,6.2
427,Talnakh,RU,1554562988,69.49,88.39,76,84,266.467,2.97
428,Gashua,NG,1554562989,12.87,11.04,8,14,315.717,1.57
429,Iquitos,PE,1554559200,-3.75,-73.25,80,319,279.15,1.5
430,Biryukove,UA,1554561000,47.96,39.74,0,41,289.15,6.0
431,Novosheshminsk,RU,1554562993,55.06,51.22,8,91,274.617,3.27
432,Abbeville,FR,1554562914,50.11,1.83,75,58,288.71,5.7
433,Macamic,CA,1554561300,48.75,-79.0,90,93,274.15,3.6
434,Helmsdale,GB,1554562847,58.12,-3.65,36,93,283.71,8.7
435,Tonantins,BR,1554562998,-2.86,-67.77,8,73,304.817,1.67
436,Guayaramerin,BO,1554559200,-10.82,-65.36,20,77,293.15,7.7
437,Biala Podlaska,PL,1554559200,52.03,23.12,0,26,289.15,8.0
438,Kingston,CA,1554562809,44.23,-76.48,75,93,279.82,4.1
439,Alice Springs,AU,1554561000,-23.7,133.88,0,36,298.15,3.6
440,Portobelo,PA,1554561221,9.55,-79.65,20,62,302.59,1.5
441,Bama,CN,1554563006,24.14,107.25,76,99,290.967,1.22
442,Broome,GB,1554563000,52.47,1.45,75,81,282.59,4.6
443,Kysyl-Syr,RU,1554563008,63.9,122.77,0,74,265.567,1.12
444,Muisne,EC,1554559200,0.61,-80.02,20,88,299.15,3.1
445,Lima,PE,1554562932,-12.06,-77.04,90,88,296.48,4.1
446,Haysville,US,1554562965,37.56,-97.35,1,82,290.15,6.7
447,Virginia Beach,US,1554562761,36.85,-75.98,90,93,288.15,4.6
448,Araouane,ML,1554563015,18.9,-3.53,0,19,304.917,6.47
449,Beringovskiy,RU,1554563016,63.05,179.32,68,96,263.717,4.82
450,Walvis Bay,NA,1554559328,-22.95,14.51,0,72,290.15,4.1
451,Gallup,US,1554558780,35.53,-108.74,1,56,275.15,2.1
452,Olinda,EC,1554562965,-2.03,-79.75,40,78,301.48,3.6
453,Miles City,US,1554562827,46.41,-105.84,40,100,283.71,3.1
454,Yamada,JP,1554563016,36.58,137.08,75,66,288.15,1.0
455,Coihaique,CL,1554559200,-45.58,-72.07,75,81,286.15,4.1
456,Shumyachi,RU,1554563024,53.86,32.43,48,49,282.517,3.62
457,Vostok,RU,1554563025,46.45,135.83,88,94,270.217,0.92
458,Bam,IR,1554562746,29.11,58.36,0,38,292.867,1.27
459,Kaifeng,CN,1554559200,34.8,114.35,92,58,289.15,4.0
460,Riacho de Santana,BR,1554562928,-13.61,-42.94,0,97,300.417,2.02
461,Roald,NO,1554562877,62.58,6.12,40,70,282.15,5.1
462,Cam Ranh,VN,1554561000,11.92,109.15,20,78,301.15,2.6
463,Newport,GB,1554562868,51.59,-3.0,75,57,286.48,6.7
464,Pangnirtung,CA,1554559200,66.15,-65.72,75,62,266.15,5.7
465,Oranjemund,ZA,1554563035,-28.55,16.43,44,91,289.467,8.22
466,Wainwright,CA,1554563037,52.84,-110.86,48,82,278.467,6.17
467,Charters Towers,AU,1554563038,-20.07,146.27,8,76,294.067,5.02
468,Taywarah,AF,1554563039,33.35,64.42,12,69,280.767,0.72
469,Kjollefjord,NO,1554562935,70.95,27.35,92,95,274.017,4.52
470,San Jeronimo,PE,1554559200,-13.65,-73.37,0,45,282.15,1.07
471,Te Anau,NZ,1554563043,-45.41,167.72,0,75,268.467,1.42
472,Hambantota,LK,1554559800,6.12,81.12,40,83,302.15,1.0
473,Tzaneen,ZA,1554561000,-23.83,30.16,40,52,293.15,6.2
474,Peace River,CA,1554559200,56.23,-117.29,90,74,271.15,3.6
475,Baker City,US,1554562131,44.77,-117.83,90,74,277.59,2.1
476,Yarada,IN,1554561000,17.65,83.27,75,42,303.15,4.1
477,Saint Pete Beach,US,1554563036,27.73,-82.74,20,65,300.93,1.5
478,Dubrovka,RU,1554562839,59.85,30.93,0,20,287.15,4.0
479,Shizunai,JP,1554563052,42.33,142.37,20,90,273.067,4.32
480,Nakhon Thai,TH,1554563054,17.1,100.84,8,95,294.417,0.87
481,Harlingen,US,1554562996,26.19,-97.7,90,78,299.26,7.7
482,Cleethorpes,GB,1554562921,53.56,-0.03,75,81,284.82,4.6
483,Fort Nelson,CA,1554559200,58.81,-122.69,90,92,268.15,2.1
484,Buchanan,LR,1554561000,5.88,-10.05,75,74,304.15,5.1
485,Aldan,RU,1554563060,58.61,125.39,92,69,270.617,1.67
486,Neuenhagen,DE,1554562828,52.84,14.05,0,26,295.15,5.1
487,Pacific Grove,US,1554562733,36.62,-121.92,75,93,286.48,2.1
488,Chumikan,RU,1554563063,54.72,135.31,88,91,271.617,4.52
489,Liwale,TZ,1554563064,-9.8,37.92,64,98,295.817,1.72
490,Wisconsin Rapids,US,1554563009,44.39,-89.82,90,81,281.48,1.5
491,North Bend,US,1554562849,43.41,-124.22,90,87,282.59,7.2
492,Sambava,MG,1554563068,-14.27,50.17,80,100,302.117,6.92
493,King City,US,1554562911,36.21,-121.13,75,87,285.93,3.1
494,Yagodnoye,RU,1554563070,62.52,149.63,76,88,265.567,0.92
495,Markova,RU,1554561000,52.21,104.21,0,46,272.15,5.0
496,Marsh Harbour,BS,1554563073,26.54,-77.06,0,98,298.117,3.42
497,Mayumba,GA,1554563074,-3.44,10.65,24,88,301.917,4.07
498,Sijunjung,ID,1554563075,-0.69,100.95,48,92,295.667,1.07
499,Reconquista,AR,1554563077,-29.14,-59.64,8,78,293.567,2.67
500,Bubaque,GW,1554562895,11.28,-15.83,80,72,304.767,2.72
501,Shache,CN,1554563079,38.42,77.24,36,20,290.417,9.37
502,Rocha,UY,1554563080,-34.48,-54.34,88,64,293.967,1.97
503,Russell,AR,1554559200,-33.01,-68.8,0,28,294.15,1.5
504,Lusambo,CD,1554563083,-4.97,23.44,24,60,304.417,0.67
505,Nishihara,JP,1554563040,35.74,139.53,20,30,289.82,4.6
506,Kathu,ZA,1554562840,-27.7,23.05,0,34,298.71,3.72
507,Muscat,OM,1554558600,23.6,58.55,0,26,306.15,2.6
508,Tazovskiy,RU,1554562985,67.47,78.7,88,86,270.067,6.12
509,Barra Patuca,HN,1554563089,15.8,-84.28,76,100,297.717,4.17
510,Gimli,CA,1554562803,50.63,-96.99,44,91,272.04,2.68
511,Kaitong,CN,1554563091,44.81,123.15,0,33,275.417,5.27
512,Umm Bab,QA,1554558960,25.21,50.81,20,27,305.15,7.2
513,Pavilosta,LV,1554560400,56.89,21.19,0,23,289.15,5.7
514,Wuda,CN,1554563095,39.5,106.72,0,42,281.267,2.22
515,Morehead,US,1554562833,38.18,-83.43,90,67,289.15,1.52
516,Waingapu,ID,1554563097,-9.65,120.26,56,94,296.667,2.62
517,Tochio,JP,1554562804,37.47,139.0,92,76,279.26,0.45
518,Prince Rupert,CA,1554559200,54.32,-130.32,90,81,279.15,2.6
519,Ivanovo,RU,1554563101,57.0,40.97,24,85,278.717,4.17
520,Belyy Yar,RU,1554561000,53.6,91.39,40,96,275.15,4.0
521,Rantauprapat,ID,1554563103,2.1,99.83,24,87,296.517,0.97
522,Naze,NG,1554559200,5.43,7.07,75,70,305.15,2.6
523,Raudeberg,NO,1554563105,61.99,5.14,12,70,283.15,7.2
524,Kafanchan,NG,1554563107,9.58,8.3,24,40,306.067,2.07
525,Rangoon,MM,1554561000,16.81,96.16,0,74,302.15,4.1
526,Rapid Valley,US,1554563106,44.06,-103.15,1,87,283.71,1.92
527,Kudahuvadhoo,MV,1554563110,2.67,72.89,64,100,302.317,1.07
528,Rundu,NA,1554563112,-17.91,19.77,12,36,304.417,1.67
529,Qaqortoq,GL,1554558600,60.72,-46.03,40,28,280.15,5.1
530,Azangaro,PE,1554559200,-14.91,-70.2,90,60,282.15,1.32
531,Abu Dhabi,AE,1554559200,24.47,54.37,0,27,309.15,4.1
532,Najran,SA,1554559200,17.54,44.22,75,33,304.15,5.1
533,Samagaltay,RU,1554563118,50.6,95.0,32,81,274.117,1.97
534,Kaputa,ZM,1554563119,-8.47,29.66,32,65,299.617,1.22
535,Juneau,US,1554558960,58.3,-134.42,90,100,277.15,1.67
536,Udachnyy,RU,1554563121,66.42,112.4,0,64,266.217,2.97
537,Barabai,ID,1554563122,-2.59,115.38,76,97,296.617,0.72
538,Kununurra,AU,1554561000,-15.77,128.74,75,83,299.15,1.0
539,Gap,FR,1554562840,44.56,6.08,92,74,279.82,1.79
540,El Carmen,AR,1554559200,-24.39,-65.26,20,72,290.15,2.1
541,Mino,JP,1554563092,35.54,136.91,0,47,285.37,1.42
542,Caravelas,BR,1554563129,-17.73,-39.27,32,98,301.217,4.77
543,Cheyenne,US,1554563126,41.14,-104.82,20,38,287.04,1.5
544,Boa Vista,BR,1554562800,2.82,-60.67,20,38,306.15,8.2
545,Nur,PL,1554563024,52.67,22.32,0,40,288.71,3.13
546,Kuznechikha,RU,1554563135,63.45,41.73,68,78,276.917,1.52
547,Aloleng,PH,1554563136,16.13,119.78,8,96,300.117,2.62
